scientific_name.x,collapsed_name,dispersal_km,dispersal_checked,source_dispersal,dispersal_type,dispersal.original.value,dispersal.original.units,Migration_km,migration_checked,Migration_source,migration.original.value,migration.original.units,mean.hra.m2,home_range_checked,source_hra,hra.original.value,hra.original.unit,Mass_kg,Mass_source,mass checked,number_traits_completed,person,diet - fine scale,diet_broadest_cat,diet source,media_air_water_land,media_simplified,medium source_notes,media_dispersal,media_migration,media_foraging,geographic_range_km2,geographic unit source,IUCN
Icteria virens,icteriavirens,40,MG,Tittler_etal_2009,median,40,Km,2466.4,CF,Horton_2018,2466.4,km,1300,CJL,Mace_Harvey_1983,0.13,ha,0.027,Mace_Harvey_1983,sds,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,2560000,IUCN (estimated extent of occurrence),
Melospiza melodia,melospizamelodia,45,MG,Tittler_etal_2009,median,45,Km,753.4,CF,Horton_2018,753.4,km,1600,CJL,Mace_Harvey_1983,0.16,ha,0.0216,Mace_Harvey_1983,sds,4,,Omnivore,Omnivore,Pigot_etal_2020,,air,inferred,air,air,air,24000000,IUCN (estimated extent of occurrence),
Passerina caerulea,passerinacaerulea,25,MG,Tittler_etal_2009,median,25,Km,1497.6,CF,Horton_2018,1497.6,km,61900,CJL,Mace_Harvey_1983,6.19,ha,0.0279,Mace_Harvey_1983,sds,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,6510000,IUCN (estimated extent of occurrence),
Pipilo erythrophthalmus,pipiloerythrophthalmus,15,MG,Tittler_etal_2009,median,15,Km,569.8,CF,Horton_2018,569.8,km,7.31E+04,MG,Martin_2016,7.31,ha,0.041,Best_etal_1996,sds,4,SDS,Omnivore/Herbivore,Herbivore,Pigot_etal_2020,,air,inferred,air,air,air,3510000,IUCN (estimated extent of occurrence),
Setophaga pensylvanica,setophagapensylvanica,35,MG,Tittler_etal_2009,median,35,Km,3458.6,CF alternative name: Dendroica pensylvanica,Horton_2018,3458.6,km,6070.28,SDS,Schoener_1968,1.5,acres,0.0096,Schoener_1968,sds,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,4500000,IUCN (estimated extent of occurrence),
Spizella passerina,spizellapasserina,40,MG,Tittler_etal_2009,median,40,Km,1839.1,CF,Horton_2018,1839.1,km,30756.1,SDS,Schoener_1968,7.6,acres,0.0142,Armstrong_1965,sds,4,,Omnivore,Omnivore,Pigot_etal_2020,,air,inferred,air,air,air,9880000,IUCN (estimated extent of occurrence),
Troglodytes aedon,troglodytesaedon,75,MG,Tittler_etal_2009,median,75,Km,1142,CF,Horton_2018,1142,km,4046.86,SDS,Schoener_1968,1,acres,0.0112,Schoener_1968,sds,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,49100000,IUCN (estimated extent of occurrence),
Vireo griseus,vireogriseus,55,MG,Tittler_etal_2009,median,55,Km,1122.6,CF,Horton_2018,1122.6,km,1335.463,SDS,Schoener_1968,0.33,acres,0.0114,Schoener_1968,sds,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,6050000,IUCN (estimated extent of occurrence),
Mimus polyglottos,mimuspolyglottos,45,MG,Tittler_etal_2009,median,45,Km,0,SDS - changed source,ICUN,37,km,4000,CJL,Mace_Harvey_1983,0.4,ha,0.0501,Mace_Harvey_1983,sds,4,,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,air,inferred,air,,air,19200000,IUCN (estimated extent of occurrence),
Hirundo rustica,hirundorustica,65,MG,Tittler_etal_2009,median,65,Km,12000,SDS - changed source,Hein_Gillooly_2011,,km,7.85E+05,CF,Moller_1987,500,m radius,0.019,Hein_etal_2012,sds,4,MG,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,air,inferred,air,air,air,251000000,IUCN (estimated extent of occurrence),
Piranga olivacea,pirangaolivacea,25,MG,Tittler_etal_2009,median,25,Km,5004,SDS - changed source,LaSorte_etal_2013,,km,6.70E+04,SDS,Rivera_etal_2003,6.7,ha,0.029,Hein_etal_2012,sds,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,4440000,IUCN (estimated extent of occurrence),
Vireo olivaceus,vireoolivaceus,95,MG,Tittler_etal_2009,median,95,Km,5083,SDS - changed source,LaSorte_etal_2013,,km,7284.33,DM,Tamburello_etal_2015,7284.33,m2,0.0176,Tamburello_etal_2015,sds,4,,Omnivore/Invertivore,Invertivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,air,air,14500000,IUCN (estimated extent of occurrence),
Corvus brachyrhynchos,corvusbrachyrhynchos,85,MG,Tittler_etal_2009,median,85,Km,912,DM ,Verbeek_Caffrey_2020,9.12E+02,km,6.40E+06,CJL,Yaremych_etal_2004,6.4,km2,0.448,Best_etal_1996,sds,4,SDS,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,air,ADW,air,air,air,12600000,IUCN (estimated extent of occurrence),
Rangifer tarandus,rangifertarandus,39,CJL - changed value and source,vanOort_etal_2005,max,39,km,1200,CJL,Hein_Gillooly_2011,1200,km,3550830977,DM,Tamburello_etal_2015,3550830977,m2,102.05869,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,land,,,
Bombina bombina,bombinabombina,1,SDS,Vines_2002,mean,1,km,0.17,DM,Trochet_etal_2014,1.70E+02,m,6.00E+01,DM,Trochet_etal_2014_2014,60,m2,0.00307,Trochet_etal_2014_2014,yes,4,CF,Insectivore,Invertivore,Trochet_etal_2014,"walk, swimming - land, water",water,Trochet_etal_2014,land,land,land_aquatic,,,
Buteo regalis,buteoregalis,592,DM,Watson_etal_2019,mean,592,km,2376,SDS - changed source,Watson_etal_2018,1038,,1.20E+07,DM,Makarieva_etal_2005,1200,ha,1.776,Ng_etal_2020,sds,4,PLT,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,air,inferred,air,air,air,3320000,IUCN (estimated extent of occurrence),
Ictidomys tridecemlineatus,ictidomystridecemlineatus,0.2286,DM,Whitmee_Orme_2013,mean,228.6,linear m,0,SDS - changed source,Streubel_Fitzgerald_1978,non-migrant,,6600,CJL,Harestad_ Bunnel_1979,0.66,ha,0.193,Harestad_ Bunnel_1979,sds,4,CF,Omnivore/Invertivore/Granivore/Frugivore,Omnivore,EOL,,land,inferred,land,,land,5320810,IUCN (estimated extent of occurrence),
Vulpes rueppellii,vulpesrueppellii,32,DM,Whitmee_Orme_2013,mean,32,linear km,0,CF,Lindsay_Macdonald_1986,territories maintained throughout the year',NA,30399749.15,DM,Tamburello_etal_2015,30399749.15,m2,3.24997,Tamburello_etal_2015,yes,4,SDS,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,,,
Hylobates lar,hylobateslar,0.62,DM,Whitmee_Orme_2013,mean,620,linear m,0,CF,Bartlett_2009,year-round home ranges,NA,386666.667,MG,Galan-Acedo_etal_2019,38.66667,ha,5.64,Galan-Acedo_etal_2019,yes,4,SDS,Omnivore/Frugivore,Omnivore,EOL,arborial,land,inferred,land,,land,,,
Panthera pardus,pantherapardus,9.83,DM,Whitmee_Orme_2013,mean,9.83,linear km,0,CF,Rozhonov_2015,remained in same area over 464  day study,NA,21080000,CJL - value was 40350000,Kroshko_etal_2016,21.08,km2,52.4,Gittleman_Harvey_1982,sds,4,CJL,Carnivore,Carnivore,EOL,running,land,Hirt_etal,land,,land,,,
Didelphis virginiana,didelphisvirginiana,4.726,DM,Whitmee_Orme_2013,max,4.726,linear km,0,CF,Sunquist_Eisenberg_1993,constant home range throughout their lifespan,NA,109062.78,DM,McNab_1963,26.95,acres,3.63,McNab_1963,,4,CJL,Omnivore/Carnivore,Omnivore,EOL,,land,inferred,land,,land,,,
Cynomys ludovicianus,cynomysludovicianus,2.355,DM,Whitmee_Orme_2013,mean,2.355,linear km,0,CF,ADW,year round burrows,NA,13300,CJL,Swihart_etal_1988,1.33,ha,1.1,Swihart_etal_1988,sds,4,PLT,Herbivore/Frugivore/Granivore,Herbivore,EOL,,land,inferred,land,,land,2619375,IUCN (estimated extent of occurrence),
Lycaon pictus,lycaonpictus,29.85,DM,Whitmee_Orme_2013,mean of medians,29.85,linear km,0,MG,Creel_Creel_1998,gene flow among populations is maintained,,1.75E+09,MG,Gittleman_Harvey_1982,"1,750.00",km2,22,Gittleman_Harvey_1982,sds,4,SDS,Carnivore,Carnivore,EOL,running,land,Hirt_etal,land,,land,7529483,IUCN (estimated extent of occurrence),
Aepyceros melampus,aepycerosmelampus,1.2,DM,Whitmee_Orme_2013,mean,1.2,linear km,24.14,MG,Dasmann_Mossman_1962,15.00,miles,9.00E+05,SDS,Murray_1982,90,ha,63.50384,Tamburello_etal_2015,sds,4,CJL,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,land,,,
Macropus rufogriseus,macropusrufogriseus,0.67,DM,Whitmee_Orme_2013,mean,670,linear m,0,MG,Green_etal_2014,non-migratory,,163000.9,DM,Tamburello_etal_2015,163000.9,m2,16.85,Tamburello_etal_2015,yes,4,SDS,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,,,
Vulpes vulpes,vulpesvulpes,18.1687778,DM - changed source to only Whitmee and Ormee (2012),Whitmee_Orme_2013,mean,,linear km,65,CJL,Hein_etal_2012,65,km,11663333.33,SDS,Lindstedt_etal_1986,1116.333,ha,4.1,Gittleman_Harvey_1982,yes,4,MG,Omnivore/Carnivore,Omnivore,ADW,running,land,Hirt_etal,land,land,land,>20000,IUCN (estimated extent of occurrence),
Ursus americanus,ursusamericanus,25.6775,DM - changed to Whitmee and Ormee 2012 only,Whitmee_Orme_2013,mean,25.6775,linear km,140,CJL,Hein_etal_2012,140,km,22850000,CJL,Swihart_etal_1988,2285,ha,100,Hein_etal_2012,sds,4,,Omnivore/Herbivore/Carnivore,Omnivore,ADW,running,land,Hirt_etal,land,land,land,,,
Panthera leo,pantheraleo,12.3,DM,Whitmee_Orme_2013,mean,12.3,linear km,0,CF- migration not in IUCN,Kittle_2016,inferred from map,NA,2.40E+08,MG,Gittleman_Harvey_1982,240,km2,155.8,Gittleman_Harvey_1982,sds,4,SDS,Carnivore,Carnivore,EOL,running,land,Hirt_etal,land,,land,,,
Leopardus pardalis,leoparduspardalis,9.9,DM,Whitmee_Orme_2013,mean,9.9,linear km,0,CF,IUCN,not a migrant',NA,1.61E+07,MG - value was 12460000,Gonzalez-Borrajo_etal_2017,20.5,km2,9.98964,Tamburello_etal_2015,sds,4,CJL,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,,,
Caracal caracal,caracalcaracal,90,DM,Whitmee_Orme_2013,max,90,linear km,0,DM,IUCN,not a migrant,NA,275760000,CJL,Kroshko_etal_2016,275.76,km2,12.9999,Tamburello_etal_2015,sds,4,CJL,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,51245224,IUCN (estimated extent of occurrence),
Antechinus stuartii,antechinusstuartii,1.5,DM,Whitmee_Orme_2013,max,1500,linear m,0,SDS,Lazenby-Cohen and Cockburn 1991,resident,,35000.16,DM,Tamburello_etal_2015,35000.16,m2,0.0275,Tamburello_etal_2015,yes,4,MG,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,,,
Brachylagus idahoensis,brachylagusidahoensis,1.95,DM,Whitmee_Orme_2013,mean of medians,1.95,linear km,0,SDS,Montana field guide,0 - nonmigatory,km,4858.81,DM,Tamburello_etal_2015,4858.81,m2,0.3402,Tamburello_etal_2015,yes,4,MG,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,air,935812,IUCN (estimated extent of occurrence),
Alouatta palliata,alouattapalliata,1.3,DM,Whitmee_Orme_2013,mean,1300,linear m,0,SDS,IUCN,resident,,404500,MG,Galan-Acedo_etal_2019,40.45,ha,6.12,Galan-Acedo_etal_2019,sds,4,PT,Herbivore,Herbivore,EOL,,land,ADW,land,,land,,(can be found in Galan-Acedo et al. 2019),
Neotoma micropus,neotomamicropus,0.0613,DM,Whitmee_Orme_2013,mean,61.3,linear m,0,MG,Post_etal_2006,"Chacher, not hiberntor or migrator",,580.55,DM,Tamburello_etal_2015,580.55,m2,0.25515,Tamburello_etal_2015,yes,4,SDS,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,1471948,IUCN (estimated extent of occurrence),
Chlorocebus aethiops,chlorocebusaethiops,0.5,DM,Whitmee_Orme_2013,max,0.5,linear km,0,MG,Renevey_et_al_2014,"Our six study groups Bay, Blesbokvlakte, Donga, Fishing Camp, Nooitgedacht and Picnic (named after sites on the park map), live in contiguous home ranges along a tourist road.",,543040,MG,Galan-Acedo_etal_2019,54.304,ha,4.65,Galan-Acedo_etal_2019,sds,4,CJL,Omnivore,Omnivore,EOL,,land,inferred,land,,land,,,
Microcebus murinus,microcebusmurinus,0.157,DM,Whitmee_Orme_2013,mean of medians,157,linear m,0,DM - non-migratory,Vuarin_2015,0,NA,19166.6667,MG,Galan-Acedo_etal_2019,1.916667,ha,0.06,Galan-Acedo_etal_2019,sds,4,CJL,Omnivore/Invertivore,Invertivore,ADW,,land,ADW,land,,land,224757,IUCN (estimated extent of occurrence),
Aplodontia rufa,aplodontiarufa,0.1525,DM,"Whitmee_Orme_2013, Prugh_etal_2008",mean,152.5,linear m,0,SDS,IUCN,resident,,1800,CJL,Mace_Harvey_1983,0.18,ha,1.135,Mace_Harvey_1983,sds,4,PT,Herbivore,Herbivore,EOL,,land,ADW,land,,land,602124,IUCN (estimated extent of occurrence),
Tragelaphus oryx,tragelaphusoryx,461,CF,,,this  value replace 0 from Hillman 1988. That paper only discussed migration. This value is an estimate of the distance between two parks that eland are known to disperse between,,213,SDS,Teitelbaum_2015,213,km,52399844.72,SDS - listed under synonym,Tamburello_etal_2015,52399844.72,m2,635.03842,Tamburello_etal_2015,sds,4,MG,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,land,,,
,,,,,,,,,,,,,64528266.75,DM,Tamburello_etal_2015,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
