"","scientific_name.x","collapsed_name","dispersal_km","dispersal_checked","source_dispersal","dispersal.original.value","dispersal.original.units","Migration_km","migration_checked","Migration_source","migration.original.value","migration.original.units","mean.hra.m2","home_range_checked","source_hra","hra.original.value","hra.original.unit","Mass_kg","Mass_source","mass.checked","number_traits_completed","person","diet","diet.source","media..air..water..land.","medium.source","geographic.range..km2.","geographic.unit.source","IUCN","mean.hra.km2","hr.radius"
"294","Aegolius funereus","aegoliusfunereus",300,"DM","Jenkins_et_al_2007","300000","m",0,"MG","Lofgren_et_al_1996","","",1138000,"CJL","Santangeli et al. 2012","113.8","ha",0.119,"Tamburello_etal","",4,"PT","Carnivore/Vertivore","Pigot_etal_2020","flying - air","Tamburello_etal","73800000","IUCN (estimated extent of occurrence)",NA,1.138,0.60186098932989
"295","Poecile atricapillus","poecileatricapillus",11.2,"DM","Jenkins_et_al_2007","11200","m",0,"SDS","IUCN","not a migrant","",14568.7,"SDS","Schoener_1968","3.6","acres",0.011,"Schoener_1968","",4,"","Omnivore/Invertivore","Pigot_etal_2020","","","15000000","IUCN (estimated extent of occurrence)",NA,0.0145687,0.0680981735353144
"296","Accipiter nisus","accipiternisus",166,"DM","Jenkins_et_al_2007","166000","m",1100,"MG -  was 0","http://birds.kz/v2taxon.php?l=en&s=85 + google earth","Its migratory, trying to find ref","",10800000,"CJL","Selas_rafoss_2008","average of 9.2 (males) and 12.3 (females)","km2",0.807,"Tamburello_etal","",4,"MG","Carnivore/Vertivore","Pigot_etal_2020","flying - air","Tamburello_etal","54400000","IUCN (estimated extent of occurrence)",NA,10.8,1.85411616971131
"297","Myodes gapperi","myodesgapperi",0.22,"DM","Prugh_etal","0.22","km",0,"MG","AWD","They sometimes store food in their nests for use in the winter when it becomes difficult to forage","",2500,"CJL - value was 8100","Harestad and Bunnel 1979","0.25","ha",0.016,"Harestad and Bunnel 1979","",4,"CJL","Omnivore/Herbivore","EOL","","","12967973","IUCN (estimated extent of occurrence)",NA,0.0025,0.0282094791773878
"298","Chelydra serpentina","chelydraserpentina",0.183,"DM","Jenkins_et_al_2007","183","m",0.5,"MG","Obbard_1980","nesting migration","",65300,"DM","Tamburello_etal","65300","m2",4.25,"Tamburello_etal","yes",4,"CF","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.0653,0.144172242709204
"299","Athene noctua","athenenoctua",94.3,"DM","Jenkins_et_al_2007","94300","m",0,"MG","Fristoe_et_al_2017","resident","",280000,"DM","makarieva_etal_2005","28","ha",0.1565,"Tamburello_etal","",4,"PT","Omnivore/Carnivore","Pigot_etal_2020","flying - air","Tamburello_etal","55000000","IUCN (estimated extent of occurrence)",NA,0.28,0.298541066072092
"300","Neotoma micropus","neotomamicropus",0.0613,"DM","Whitmee and Ormee 2012","61.3","linear m",0,"MG","Post_etal_2006","Chacher, not hiberntor or migrator","",580.55,"DM","Tamburello_etal","580.55","m2",0.25515,"Tamburello_etal","yes",4,"SDS","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","1471948","IUCN (estimated extent of occurrence)",NA,0.00058055,0.0135939252765344
"301","Tyto alba","tytoalba",97.1,"DM","Jenkins_et_al_2007","97100","m",0,"MG","Razafindratsima_etal_2018","resident","",1500000,"DM","Tamburello_etal","1500000","m2",0.285,"Tamburello_etal","yes",4,"","Carnivore/Vertivore","Pigot_etal_2020","flying - air","Tamburello_etal","379000000","IUCN (estimated extent of occurrence)",NA,1.5,0.690988298942671
"302","Chlorocebus aethiops","chlorocebusaethiops",0.5,"DM","Whitmee and Ormee 2012","0.5","linear km",0,"MG","Renevey_et_al_2014","Our six study groups Bay, Blesbokvlakte, Donga, Fishing Camp, Nooitgedacht and Picnic (named after sites on the park map), live in contiguous home ranges along a tourist road.","",543040,"MG","Galan-Acedo et al. 2019","54.304","ha",4.65,"Galan-Acedo et al. 2019","",4,"CJL","Herbivore/Folivore/Frugivore","EOL","","","","",NA,0.54304,0.415758343985116
"303","Aphelocoma coerulescens","aphelocomacoerulescens",1.8,"DM","Jenkins_et_al_2007","1800","m",0,"MG","Fristoe_et_al_2017","resident","",21000,"SDS","Bowman_2003","2.1","ha",0.0724,"Mace_Harvey_1983","",4,"CF","Omnivore/Omnivore","Pigot_etal_2020","","","71900","IUCN (estimated extent of occurrence)",NA,0.021,0.0817588381146626
"304","Linaria cannabina","linariacannabina",22,"CJL","Jenkins_et_al_2007","22000","m",2500,"SDS - was 1044","Roseler_2017","2500","km",3140000,"DM - under carduelis cannabina","Tamburello_etal","","m2",0.0155,"Tamburello_etal","",4,"CF","Herbivore/Granivore","Pigot_etal_2020","","","27300000","IUCN (estimated extent of occurrence)",NA,3.14,0.999746489174682
"305","Pituophis melanoleucus","pituophismelanoleucus",0.307,"DM","Jenkins_et_al_2007","307","m",0,"CJL - changed source","Zappalorti_et_al_2015","hibernacula are located within home ranges","",701000,"DM","Tamburello_etal","701000","m2",1.004,"Tamburello_etal","yes",4,"SDS","Carnivore","Tamburello_etal","crawling - land","Tamburello_etal","","",NA,0.701,0.472371919375863
"306","Genetta genetta","genettagenetta",50,"DM","Prugh_etal","50","km",0,"CJL - changed source","Munuera_Llobet_2004","""Despite seasonal variation in home range size, the animals maintained their general spatial location throughout the year; movements to other areas were not detected.""","",7809981.41,"DM","Tamburello_etal","7809981.41","m2",1.75001,"Tamburello_etal","yes",4,"CF","Carnivore","Tamburello_etal","walking - land","Tamburello_etal",">20000","IUCN (estimated extent of occurrence)",NA,7.80998141,1.57670361631938
"307","Ambystoma talpoideum","ambystomatalpoideum",1,"DM","Jenkins_et_al_2007","1000","m",0.155,"SDS","Semlitsch_1985","10, 300","m",4.45,"CF","Semlitsch_1981","","",0.00613,"Semlitch_1983","",4,"CF","Carnivore","Animal_Diversity_Web","","","","",NA,4.45e-06,0.00119015923032083
"308","Gloydius shedaoensis","gloydiusshedaoensis",0.1,"DM","Jenkins_et_al_2007","100","m",0,"CJL","shine_2002","whole population is w/in less than 1 square km","",2613.69,"DM","Tamburello_etal","2613.69","m2",0.19681,"Tamburelloe_etal","yes",4,"CF","Carnivore","Tamburello_etal","crawling - land","Tamburello_etal","0.73","IUCN (estimated extent of occurrence)",NA,0.00261369,0.0288437751762787
"309","Buteo buteo","buteobuteo",72.4,"DM","Jenkins_et_al_2007","72400","m",702,"CJL","Strandberg_et_al_2008","7.02E+02","km",1450000,"DM","makarieva_etal_2005","145","ha",0.846,"Tamburello_etal","",4,"CJL","Carnivore/Vertivore","Pigot_etal_2020","flying - air","Tamburello_etal","33900000","IUCN (estimated extent of occurrence)",NA,1.45,0.679374223065975
"310","Zootoca vivipara","zootocavivipara",0.1,"DM","Jenkins_et_al_2007","100","m",0,"MG","Strijbosch_1996","From this one may conclude, that here maximally 2 out of every 3 animals live a more or less stationary life","",920,"MG","Perry_Garland_2002","920","m2",0.0032,"Perry_Garland_2002","",4,"SDS","ambush predator","EOL","","","","",NA,0.00092,0.0171127173554958
"311","Delichon urbicum","delichonurbicum",34.8,"DM","Jenkins_et_al_2007","34800","m",5250,"CJL - changed value","Szep et al. 2017","avg  of 5 inds (4250,4500,4250,5200,8050)","km",636000,"CJL - value was 45","Bryant and Turner 1982","0.45","km radius",0.0157,"EOL","",4,"PLT","Carnivore/Invertivore","Pigot_etal_2020","","","30800000","IUCN (estimated extent of occurrence)",NA,0.636,0.449938982099674
"312","Bison bison","bisonbison",125.6,"MG","Jung_2017","125.6","Km",93,"SDS","Teitelbaum_2015","57,31,35,249","km",265778594.2,"DM","Tamburello_etal","265778594.2","m2",629.9992,"Tamburello_etal","yes",4,"MG","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,265.7785942,9.19782333326151
"313","Tragelaphus oryx","tragelaphusoryx",461,"CF","","","",213,"SDS","Teitelbaum_2015","213","km",52399844.72,"SDS - listed under synonym","Tamburello_etal","52399844.72","m2",635.03842,"Tamburello_etal","",4,"MG","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,52.39984472,4.08404072076559
"314","Scaphiopus holbrookii","scaphiopusholbrookii",0.825,"DM","Jenkins_et_al_2007","825","m",0.1304,"DM - changed from 0.134","Timm_2014","130.4m +/- 28m","m",53420,"MG - value was 5320, (missed 1 number)","Timm_et_al_2014","130.4","m",0.0451,"EOL","",4,"CF","Carnivore/Invertivore","Animal_Diversity_Web","","","","",NA,0.05342,0.130399824079399
"315","Rana sylvatica","ranasylvatica",2.53,"DM","Jenkins_et_al_2007","2530","m",0.3,"SDS","Vasconcelos_Calhoun_2004","300","m",64.5,"MG","Bellis_1965","77.2","yards2",0.0144,"Trochet_etal","",4,"SDS","Omnivore/Invertivore","Animal_Diversity_Web","","","","",NA,6.45e-05,0.00453111329132858
"316","Pelobates fuscus","pelobatesfuscus",0.5,"DM","Jenkins_et_al_2007","500","m",0.0179,"DM","Trochet_etal","17.9","m",148.2,"CF","Eggert_2002","148.2","m^2",0.0216,"Trochet_etal","",4,"SDS","Carnivore/Insectivore","Trohet_etal","walk_swim - land_water","Trochet_etal","","",NA,0.0001482,0.00686829856168453
"317","Bombina variegata","bombinavariegata",0.3128,"DM","Jenkins_et_al_2007","312.8","m",0.19273,"DM","Trochet_etal","192.73","m",2330,"CJL","Jacob_et_al_2009","average of 2357 & 2303 for males & females","m2",0.00632,"Trochet_etal","",4,"CJL","Carnivore/Insectivore","Trochet_etal","walk, swim - land, water","Trochet_etal","","",NA,0.00233,0.0272334726909411
"318","Salamandra salamandra","salamandrasalamandra",0.03,"DM","Jenkins_et_al_2007","30","m",0.0665,"DM","Trochet_etal","66.5","m",494,"MG - value was 61.5","Schulte_et_al_2007","494","m2",0.03523,"Trochet_etal","",4,"","Carnivore","EOL","walking - land","Trochet_etal","","",NA,0.000494,0.0125397401797163
"319","Bombina bombina","bombinabombina",1,"SDS","Vines_2002","1","km",0.17,"DM","Trochet_etal","1.70E+02","m",60,"DM","Trochet_etal","60","m2",0.00307,"Trochet_etal","yes",4,"CF","Insectivore","Trochet_etal","walk, swimming - land, water","Trochet_etal","","",NA,6e-05,0.00437019372236832
"320","Bufo bufo","bufobufo",3.62102,"DM","Jenkins_et_al_2007","3621.02","m",0.015,"DM","Trochet_etal","15","m",50,"DM","Trochet_etal","50","m2",0.07654,"Trochet_etal","yes",4,"","Carnivore/Insectivore","Trochet_etal","walking - land","Trochet_etal","","",NA,5e-05,0.00398942280401433
"321","Epidalea calamita","epidaleacalamita",0.068,"MG","Leskovar_Sinsch_2005","68","m",0.51066,"DM","Trochet_etal","510.66","m",1450,"DM","Trochet_etal","1450","m2",0.05022,"Trochet_etal","yes",4,"CJL","Carnivore/Insectivore","Trochet_etal","walking - land","Trochet_etal","","",NA,0.00145,0.0214836992849578
"322","Hyla arborea","hylaarborea",12.6,"DM","Jenkins_et_al_2007","12600","m",0.39,"DM","Trochet_etal","390","m",10,"DM","Trochet_etal","10","m2",0.00604,"Trochet_etal","yes",4,"","Carnivore/Insectivore","Trochet_etal","climbing/jumping","Trochet_etal","","",NA,1e-05,0.00178412411615277
"323","Rana arvalis","ranaarvalis",7.6,"DM","Jenkins_et_al_2007","7600","m",0.0085,"DM","Trochet_etal","8.5","m",100,"DM","Trochet_etal","100","m2",0.0108,"Trochet_etal","yes",4,"","Carnivore/Insectivore","Trochet_etal","walking - land","Trochet_etal","","",NA,1e-04,0.00564189583547756
"324","Rana dalmatina","ranadalmatina",0.3,"DM","Jenkins_et_al_2007","300","m",0.1942,"DM","Trochet_etal","194.2","m",90,"DM","Trochet_etal","90","m2",0.02099,"Trochet_etal","yes",4,"","Carnivore/Insectivore","Trochet_etal","walk_swim - land_water","Trochet_etal","","",NA,9e-05,0.00535237234845831
"325","Rana temporaria","ranatemporaria",0.46,"DM","Jenkins_et_al_2007","460","m",0.031,"DM","Trochet_etal","31","m",119.5,"DM","Trochet_etal","119.5","m2",0.04224,"Trochet_etal","yes",4,"","Carnivore/Insectivore","Trochet_etal","walk_swim - land_water","Trochet_etal","","",NA,0.0001195,0.00616749798532298
"326","Anaxyrus americanus","anaxyrusamericanus",0.686,"MG","Forester_etal_2006","686","m",0.45273,"DM","Trochet_etal","452.73","m",687.95,"DM","Trochet_etal_2014","687.95","m2",0.06,"Trochet_etal","yes",4,"","Carnivore/Insectivore","Trochet_etal","walking - land","Trochet_etal","","",NA,0.00068795,0.014798016292738
"327","Microcebus murinus","microcebusmurinus",0.157,"DM","Whitmee and Ormee (2012)","157","linear m",0,"DM - non-migratory","Vuarin_2015","0",NA,19166.6667,"MG","Galan-Acedo et al. 2019","1.916667","ha",0.06,"Galan-Acedo et al. 2019","",4,"CJL","Omnivore/Invertivore","EOL","","","224757","IUCN (estimated extent of occurrence)",NA,0.0191666667,0.0781085110330472
"328","Hoplocephalus bungaroides","hoplocephalusbungaroides",0.9,"DM","Jenkins_et_al_2007","900","m",0.78,"SDS","Webb_1997","780","m",27379,"DM","Tamburello_etal","27379","m2",0.04879,"Tamburello_etal","yes",4,"CF","Carnivore","Tamburello_etal","crawling - land","Tamburello_etal","30756","IUCN (estimated extent of occurrence)",NA,0.027379,0.0933541984799077
"329","Capra hircus","caprahircus",80,"DM","Prugh_etal","80","km",0,"SDS","ADW","","",64528266.75,"DM","Tamburello_etal","64528266.75","m2",50.99998,"Tamburello_etal","yes",4,"CF","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,64.52826675,4.53210604960098
